L 11/24/2020 - 08:04:46: Log file started (file "cstrike/addons/amxmodx/logs/antireklama.log") (game "cstrike") (amx "1.9.0.5271")
L 12/03/2020 - 18:44:27: Nick: Zveruga | ID: STEAM_1:0:948512310 | IP: 188.170.253.207 | Country: error | 55555555555555555555555555555555555555555555555555555555555555555
L 12/03/2020 - 19:32:12: Nick: Nesquik | ID: STEAM_1:0:201390745 | IP: 212.119.233.127 | Country: error | @@ 5555555555555555555
L 12/03/2020 - 20:16:03: Nick: Nesquik | ID: STEAM_1:0:201390745 | IP: 212.119.233.127 | Country: error | 111111111111
L 12/03/2020 - 20:32:30: Nick: DIMON OMON | ID: STEAM_1:0:1367729720 | IP: 91.217.5.235 | Country: error | 222222222222222222222
L 12/03/2020 - 20:32:51: Nick: Devl1 | ID: STEAM_1:0:66674238 | IP: 176.101.230.74 | Country: error | рай ты зерро 100000000000000000процентаъ
L 12/03/2020 - 20:34:24: Nick: DIMON OMON | ID: STEAM_1:0:1367729720 | IP: 91.217.5.235 | Country: error | 222222222222222222222
L 12/04/2020 - 13:02:33: Nick: empty | ID: STEAM_1:0:780504051 | IP: 45.131.57.138 | Country: error | 1000000000000000000000000000000000000000000000000000000000000
L 12/04/2020 - 13:03:04: Nick: empty | ID: STEAM_1:0:780504051 | IP: 45.131.57.138 | Country: error | 1000000000000
L 12/04/2020 - 21:58:01: Nick: valdushek | ID: STEAM_1:0:103578040 | IP: 46.98.134.6 | Country: error | 0_0 Что это за цифра ? 999999999999999999999)
L 12/04/2020 - 22:26:01: Nick: valdushek | ID: STEAM_1:0:103578040 | IP: 46.98.134.6 | Country: error | 200000000000000000000000000000
L 12/04/2020 - 22:26:06: Nick: valdushek | ID: STEAM_1:0:103578040 | IP: 46.98.134.6 | Country: error | 20000000000000
L 12/05/2020 - 08:20:03: Nick: KAZAKA | ID: STEAM_1:0:1429286688 | IP: 188.190.221.135 | Country: error | 93.191.11.214:27067
L 12/05/2020 - 12:38:43: Nick: Nesquik | ID: STEAM_1:0:201390745 | IP: 78.106.86.53 | Country: error | @@ 444444444444
L 12/05/2020 - 17:12:39: Nick: koli 1231 | ID: STEAM_1:0:1960141105 | IP: 81.9.127.179 | Country: error | девин дай 10000000000000000000000
L 12/05/2020 - 19:27:43: Nick: ollTiMisT | ID: STEAM_1:0:12745069 | IP: 178.120.60.133 | Country: error | например 99999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999
L 12/05/2020 - 19:35:19: Nick: Nikola | ID: STEAM_1:0:1228854983 | IP: 78.128.88.145 | Country: error | 78.7.85.35:27015
L 12/05/2020 - 19:52:18: Nick: ollTiMisT | ID: STEAM_1:0:12745069 | IP: 178.120.60.133 | Country: error | у тебя их 99999999999999999999
L 12/05/2020 - 20:39:04: Nick: Devl1 | ID: STEAM_1:0:66674238 | IP: 176.101.230.74 | Country: error | я пришол спустя 1000000000000лет
L 12/05/2020 - 22:36:58: Nick: (1)Devl1 | ID: STEAM_1:0:1288359075 | IP: 31.132.123.18 | Country: error | 1000000000000
L 12/06/2020 - 08:47:16: Nick: ExZtAzZ | ID: STEAM_0:0:506064673 | IP: 176.212.216.102 | Country: error | 93.191.11. двоеточие 27047
L 12/06/2020 - 08:47:50: Nick: ExZtAzZ | ID: STEAM_0:0:506064673 | IP: 176.212.216.102 | Country: error | 93точка191точк214дыоеточие 27047
L 12/06/2020 - 08:50:51: Nick: ExZtAzZ | ID: STEAM_0:0:506064673 | IP: 176.212.216.102 | Country: error | н93 191 11 214 2704 7
L 12/06/2020 - 13:18:48: Nick: artemka888 | ID: STEAM_1:0:1288359075 | IP: 31.132.123.18 | Country: error | 666666666666666
L 12/06/2020 - 13:18:56: Nick: artemka888 | ID: STEAM_1:0:1288359075 | IP: 31.132.123.18 | Country: error | 666666666666
L 12/06/2020 - 13:46:37: Nick: SamЬIйSok | ID: STEAM_1:0:864731321 | IP: 109.166.58.54 | Country: error | 9 3333333333333333333333
L 12/06/2020 - 15:32:23: Nick: Devl1 | ID: STEAM_1:0:66674238 | IP: 176.101.230.74 | Country: error | дай мне уминя минус 215436455436
L 12/06/2020 - 16:13:14: Nick: koli 1231 | ID: STEAM_1:0:1960141105 | IP: 188.65.244.19 | Country: error | 8888888888888э
L 12/06/2020 - 16:14:58: Nick: koli 1231 | ID: STEAM_1:0:1960141105 | IP: 188.65.244.19 | Country: error | 88888888888888
L 12/06/2020 - 17:59:35: Nick: koli 1231 | ID: STEAM_1:0:1960141105 | IP: 188.65.244.19 | Country: error | а можно мне денег пжжжжжжжжжж 1000000000000000000
L 12/07/2020 - 11:54:24: Nick: MUR4IK | ID: STEAM_1:0:1436037888 | IP: 185.244.21.13 | Country: error | бл вы уже меня 10000000000000 пробежали с хуком
L 12/07/2020 - 13:46:35: Nick: koli 1231 | ID: STEAM_1:0:1960141105 | IP: 188.65.247.177 | Country: error | 7777777777777777777777777
L 12/08/2020 - 14:29:51: Nick: DIMON OMON | ID: STEAM_1:0:1367729720 | IP: 91.217.5.235 | Country: error | 2222222222222
L 12/08/2020 - 21:47:34: Nick: KracS | ID: STEAM_1:0:2007284428 | IP: 46.119.142.202 | Country: error | 7777777777777777777
L 12/08/2020 - 21:48:45: Nick: KracS | ID: STEAM_1:0:2007284428 | IP: 46.119.142.202 | Country: error | 777777777777
L 12/09/2020 - 11:21:03: Nick: NaviMaaN7arIn | ID: STEAM_1:0:574133585 | IP: 95.57.154.159 | Country: error | 666666666666666
L 12/10/2020 - 16:48:58: Nick: Assassin[Dishonored] | ID: STEAM_1:0:1092884526 | IP: 176.222.157.118 | Country: error | 222222222222222222222
L 12/10/2020 - 17:45:32: Nick: Жужа | ID: STEAM_1:0:297001369 | IP: 85.93.49.157 | Country: error | 333333333333333333
